Question ID,Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
182,What is the output of print(sum(i*i for i in range(5))),None of the above,30,25,10,Error,30,Squares 0 1 4 9 16 add up to 30.
183,What is the value of s=pythonista then print(s[1:4]),pyth,yth,None of the above,ytho,ythonista,yth,yth is correct based on how this feature behaves in Python.
184,What is the value of len(set(mississippi)),8,4,3,5,7,4,4 is correct based on how this feature behaves in Python.
185,What is the value of s=pythonista then print(s[1:5]),ython,None of the above,ytho,ythonista,tho,ytho,ytho is correct based on how this feature behaves in Python.
186,What is the value of s=pythonista then print(s[3:8]),onis,honis,None of the above,honista,pythonis,honis,honis is correct based on how this feature behaves in Python.
187,What is the value of s=pythonista then print(s[3:8]),honist,onis,honis,pythonis,None of the above,honis,honis is correct based on how this feature behaves in Python.
188,What is the output of print(sum(i*i for i in range(7))),49,Error,91,21,None of the above,91,91 is correct based on how this feature behaves in Python.
189,What is the value of s=pythonista then print(s[3:6]),None of the above,on,hon,honi,python,hon,hon is correct based on how this feature behaves in Python.
190,What is the value of s=pythonista then print(s[1:6]),ython,python,None of the above,thon,ythoni,ython,ython is correct based on how this feature behaves in Python.
191,What is the output of print(sum(i*i for i in range(3))),None of the above,Error,4,3,5,5,5 is correct based on how this feature behaves in Python.
192,What is the output of print(sum(i*i for i in range(6))),15,None of the above,55,Error,36,55,55 is correct based on how this feature behaves in Python.
193,What is the value of s=pythonista then print(s[3:6]),honista,on,None of the above,honi,hon,hon,hon is correct based on how this feature behaves in Python.
194,What is the output of print(sum(i*i for i in range(5))),25,10,Error,None of the above,30,30,Squares 0 1 4 9 16 add up to 30.
195,Which built in is most appropriate for a stable sort with a custom key,list.sort without key,bisect.insort for unsorted lists,heapq.nsmallest for all elements,reversed then sort,sorted with the key parameter,sorted with the key parameter,sorted with key keeps equal keys in input order and uses the key for comparisons.
196,What does list({1: a  2: b}) evaluate to,[1  2],[a b],[2 1],None of the above,[(1 a) (2 b)],[1  2],[1  2] is correct based on how this feature behaves in Python.
197,Which statement about decorators is accurate,A decorator changes the function name at runtime in CPython,A decorator can only be applied to async functions,None of the above,A decorator must be a class not a function,A decorator wraps a function to modify behavior without changing the function code,A decorator wraps a function to modify behavior without changing the function code,A decorator takes a function and returns a new callable that adds behavior around it.
198,What is output of print(bool(object())),FALSE,None,TRUE,0,None of the above,TRUE,Any object instance is truthy so bool is True.
199,What does itertools.groupby require to group equal keys correctly,The values must be numbers,The input must be pre sorted by the same key function,None of the above,The key function must return unique values,The input must be a list not an iterator,The input must be pre sorted by the same key function,groupby only groups adjacent equal keys so you must sort first.
200,What is the value of s=pythonista then print(s[3:7]),honis,honista,pythoni,honi,None of the above,honi,honi is correct based on how this feature behaves in Python.
201,What is the value of s=pythonista then print(s[0:3]),pyth,None of the above,pyt,pythonista,yt,pyt,pyt is correct based on how this feature behaves in Python.
202,What is structural pattern matching match case primarily used for,Destructuring and matching data shapes like sequences mappings and classes,Switching on integer constants only,Dynamic type casting at runtime,Replacing if else for arithmetic,Pattern matching only works with strings,Destructuring and matching data shapes like sequences mappings and classes,match case can unpack and test shapes of data not just values.
203,What is the output of print(sum(i*i for i in range(7))),36,49,91,Error,21,91,91 is correct based on how this feature behaves in Python.
204,What is the output of print(sum(i*i for i in range(4))),9,14,16,6,Error,14,14 is correct based on how this feature behaves in Python.
205,What is the value of s=pythonista then print(s[3:6]),None of the above,python,on,honista,hon,hon,hon is correct based on how this feature behaves in Python.
206,What is output of print(a * 0 or b),b,FALSE,0,None of the above,,b,b is correct based on how this feature behaves in Python.
207,What is the value of s=pythonista then print(s[1:5]),None of the above,ython,tho,ytho,pytho,ytho,ytho is correct based on how this feature behaves in Python.
208,What is the output of print(sum(i*i for i in range(6))),Error,55,25,None of the above,36,55,55 is correct based on how this feature behaves in Python.
209,What is the value of s=pythonista then print(s[1:5]),pytho,ytho,ythonista,None of the above,tho,ytho,ytho is correct based on how this feature behaves in Python.
210,What does contextlib.contextmanager do,Registers cleanup to run at interpreter shutdown only,Creates a thread safe lock automatically,Writes context logs to syslog,Turns a generator function into a context manager using yield to split setup and teardown,Provides async context management only,Turns a generator function into a context manager using yield to split setup and teardown,The decorator turns a generator into a context manager with setup before yield and cleanup after.
211,Which description of asyncio.gather is accurate,Cancels all tasks on the first exception always,Blocks the event loop until all tasks finish via time sleep,Guarantees order of completion equals input order,Starts new processes for each task,Runs multiple awaitables concurrently and aggregates their results,Runs multiple awaitables concurrently and aggregates their results,gather runs many coroutines at once and returns all results together.
212,What is the output of print(sum(i*i for i in range(4))),Error,9,None of the above,14,6,14,14 is correct based on how this feature behaves in Python.
213,What does print((x:=len([1 2 3])) == 3 and x) output,FALSE,None,len list,3,None of the above,3,3 is correct based on how this feature behaves in Python.
214,What is the output of print(sum(i*i for i in range(6))),25,36,55,Error,None of the above,55,55 is correct based on how this feature behaves in Python.
215,What is the output of print(sum(i*i for i in range(6))),15,36,55,25,None of the above,55,55 is correct based on how this feature behaves in Python.
216,What is the value of s=pythonista then print(s[3:8]),honista,honist,pythonis,honis,None of the above,honis,honis is correct based on how this feature behaves in Python.
217,What is the output of print(sum(i*i for i in range(3))),4,5,None of the above,Error,9,5,5 is correct based on how this feature behaves in Python.
218,What is the value of s=pythonista then print(s[1:6]),None of the above,thon,ythoni,python,ython,ython,ython is correct based on how this feature behaves in Python.
219,What is the output of print(sum(i*i for i in range(4))),6,9,Error,None of the above,14,14,14 is correct based on how this feature behaves in Python.
220,What is the output of print(sum(i*i for i in range(3))),9,5,3,4,None of the above,5,5 is correct based on how this feature behaves in Python.
221,What does contextlib.contextmanager do,Creates a thread safe lock automatically,Turns a generator function into a context manager using yield to split setup and teardown,Writes context logs to syslog,Provides async context management only,Registers cleanup to run at interpreter shutdown only,Turns a generator function into a context manager using yield to split setup and teardown,The decorator turns a generator into a context manager with setup before yield and cleanup after.
222,What is the output of print(sum(i*i for i in range(6))),25,None of the above,55,Error,15,55,55 is correct based on how this feature behaves in Python.
223,What is the value of s=pythonista then print(s[1:3]),yt,pyt,ythonista,yth,None of the above,yt,yt is correct based on how this feature behaves in Python.
224,What is the output of print(sum(i*i for i in range(6))),36,Error,None of the above,25,55,55,55 is correct based on how this feature behaves in Python.
225,What is the output of print([i for i in range(3)] is [0 1 2]),[0 1 2],TRUE,Error,None of the above,FALSE,FALSE,False is correct based on how this feature behaves in Python.
226,What is the output of print(sum(i*i for i in range(5))),10,Error,None of the above,25,30,30,Squares 0 1 4 9 16 add up to 30.
227,What is the output of print({1 2 3} < {1 2 3 4}),Error,None of the above,[],TRUE,FALSE,TRUE,True is correct based on how this feature behaves in Python.
228,What is the output of print(sum(i*i for i in range(6))),15,55,36,Error,None of the above,55,55 is correct based on how this feature behaves in Python.
229,What is the output of print(sum(i*i for i in range(6))),15,36,None of the above,25,55,55,55 is correct based on how this feature behaves in Python.
230,What does contextlib.contextmanager do,Writes context logs to syslog,Provides async context management only,Creates a thread safe lock automatically,Turns a generator function into a context manager using yield to split setup and teardown,Registers cleanup to run at interpreter shutdown only,Turns a generator function into a context manager using yield to split setup and teardown,The decorator turns a generator into a context manager with setup before yield and cleanup after.
231,What is the value of s=pythonista then print(s[1:3]),pyt,ythonista,yt,t,yth,yt,yt is correct based on how this feature behaves in Python.
232,What is the value of s=pythonista then print(s[3:6]),python,hon,on,honista,None of the above,hon,hon is correct based on how this feature behaves in Python.
233,What is the output of print(sum(i*i for i in range(6))),55,Error,15,36,None of the above,55,55 is correct based on how this feature behaves in Python.
234,What is the output of print(sum(i*i for i in range(4))),6,9,16,14,Error,14,14 is correct based on how this feature behaves in Python.
235,What is the output of print(sum(i*i for i in range(3))),Error,4,None of the above,5,3,5,5 is correct based on how this feature behaves in Python.
236,What is the output of print(sum(i*i for i in range(3))),Error,5,3,9,None of the above,5,5 is correct based on how this feature behaves in Python.
237,What is output of print(bool(object())),None of the above,0,TRUE,None,Error,TRUE,Any object instance is truthy so bool is True.
238,What is the output of print(sum(i*i for i in range(6))),55,None of the above,25,Error,36,55,55 is correct based on how this feature behaves in Python.
239,What is the value of s=pythonista then print(s[1:6]),python,None of the above,ythonista,ython,ythoni,ython,ython is correct based on how this feature behaves in Python.
240,What is the output of print(sum(i*i for i in range(3))),4,9,None of the above,Error,5,5,5 is correct based on how this feature behaves in Python.
241,What is the output of print(sum(i*i for i in range(3))),None of the above,9,Error,5,3,5,5 is correct based on how this feature behaves in Python.
242,What is the output of print(sum(i*i for i in range(4))),16,14,9,6,None of the above,14,14 is correct based on how this feature behaves in Python.
243,What is the output of print(sum(i*i for i in range(6))),Error,15,36,55,25,55,55 is correct based on how this feature behaves in Python.
244,What is the value of s=pythonista then print(s[3:8]),None of the above,honista,onis,honis,pythonis,honis,honis is correct based on how this feature behaves in Python.
245,What is the value of s=pythonista then print(s[1:4]),ytho,pyth,ythonista,yth,th,yth,yth is correct based on how this feature behaves in Python.
246,What does contextlib.contextmanager do,Creates a thread safe lock automatically,Registers cleanup to run at interpreter shutdown only,Writes context logs to syslog,Provides async context management only,Turns a generator function into a context manager using yield to split setup and teardown,Turns a generator function into a context manager using yield to split setup and teardown,The decorator turns a generator into a context manager with setup before yield and cleanup after.
247,Which statement about descriptors is correct,Descriptors can only be used with metaclasses,Descriptors require slots to be enabled,Descriptors are only available in C extensions,A descriptor is an object that defines __get__ __set__ or __delete__ and controls attribute access,Descriptors work only on built in types,A descriptor is an object that defines __get__ __set__ or __delete__ and controls attribute access,Implementing __get__ __set__ or __delete__ lets an object control attribute access.
248,Which method makes an object usable in a with statement,__iter__ and __next__,__enter__ and __exit__,__init__ and __del__,__aenter__ and __aexit__ only,__get__ and __set__,__enter__ and __exit__,with calls __enter__ on enter and __exit__ on exit to handle setup and cleanup.
249,Which statement about float NaN is correct,None of the above,NaN compares greater than all numbers,NaN is not equal to itself by IEEE rules so x == x is False for NaN,NaN is equal to 0 0 by default,NaN sorts to the beginning in all Python sorts,NaN is not equal to itself by IEEE rules so x == x is False for NaN,NaN is special and never equals itself which is why equality tests fail.
250,What is the value of s=pythonista then print(s[3:5]),ho,None of the above,o,hon,honista,ho,ho is correct based on how this feature behaves in Python.
251,What is the output of print(sum(i*i for i in range(6))),Error,36,25,None of the above,55,55,55 is correct based on how this feature behaves in Python.
252,Which statement about mutable default arguments is correct,Only dict defaults are shared lists are not,A list used as a default parameter is shared across calls which can cause surprising bugs,This happens only in Python 2 not Python 3,None of the above,Defaults are re evaluated on each call so this is safe,A list used as a default parameter is shared across calls which can cause surprising bugs,Default values are evaluated once at function definition so a list is shared across calls.
253,What is the output of print(sum(i*i for i in range(3))),None of the above,9,Error,5,4,5,5 is correct based on how this feature behaves in Python.
254,What is the output of print(sum(i*i for i in range(7))),49,Error,21,None of the above,91,91,91 is correct based on how this feature behaves in Python.
255,In typing what does Protocol represent,A network protocol implementation,A runtime enforced interface,A final class that cannot be subclassed,A metaclass for ABCs,A structural type based on method signatures rather than concrete inheritance,A structural type based on method signatures rather than concrete inheritance,Protocol checks that a type has the right methods regardless of its base classes.
256,What is output of print({}.setdefault(x [])),{},[x],None,[],KeyError,[],[] is correct based on how this feature behaves in Python.
257,What is the value of s=pythonista then print(s[3:8]),pythonis,None of the above,honista,onis,honis,honis,honis is correct based on how this feature behaves in Python.
258,What does itertools.groupby require to group equal keys correctly,The key function must return unique values,The values must be numbers,The input must be pre sorted by the same key function,The keys must be strings,The input must be a list not an iterator,The input must be pre sorted by the same key function,groupby only groups adjacent equal keys so you must sort first.
259,What is the output of print(sum(i*i for i in range(6))),15,None of the above,55,Error,36,55,55 is correct based on how this feature behaves in Python.
260,What is the value of s=pythonista then print(s[0:2]),pythonista,pyt,None of the above,py,y,py,py is correct based on how this feature behaves in Python.
261,What is the output of print(sum(i*i for i in range(6))),36,None of the above,25,55,Error,55,55 is correct based on how this feature behaves in Python.
262,What is the output of print(sum(i*i for i in range(3))),9,Error,None of the above,5,4,5,5 is correct based on how this feature behaves in Python.
263,What is the value of s=pythonista then print(s[0:5]),None of the above,pytho,ytho,pythonista,python,pytho,pytho is correct based on how this feature behaves in Python.
264,What is the output of print(sum(i*i for i in range(5))),30,Error,10,None of the above,25,30,Squares 0 1 4 9 16 add up to 30.
265,What is the output of print(sum(i*i for i in range(3))),5,3,4,Error,None of the above,5,5 is correct based on how this feature behaves in Python.
266,What is the value of s=pythonista then print(s[3:7]),honis,honi,honista,oni,None of the above,honi,honi is correct based on how this feature behaves in Python.
267,Which description of asyncio.gather is accurate,None of the above,Blocks the event loop until all tasks finish via time sleep,Starts new processes for each task,Runs multiple awaitables concurrently and aggregates their results,Cancels all tasks on the first exception always,Runs multiple awaitables concurrently and aggregates their results,gather runs many coroutines at once and returns all results together.
268,What is the output of print(sum(i*i for i in range(7))),36,21,91,49,None of the above,91,91 is correct based on how this feature behaves in Python.
269,What is the output of print(sum(i*i for i in range(5))),30,Error,25,None of the above,16,30,Squares 0 1 4 9 16 add up to 30.
270,What does print((x:=len([1 2 3])) == 3 and x) output,None,None of the above,len list,3,TRUE,3,3 is correct based on how this feature behaves in Python.
271,In typing what does Protocol represent,A structural type based on method signatures rather than concrete inheritance,A final class that cannot be subclassed,A runtime enforced interface,A metaclass for ABCs,A network protocol implementation,A structural type based on method signatures rather than concrete inheritance,Protocol checks that a type has the right methods regardless of its base classes.
272,What is the output of print(sum(i*i for i in range(4))),Error,14,None of the above,9,6,14,14 is correct based on how this feature behaves in Python.
273,What does dataclass frozen True guarantee,Only __repr__ is generated not __init__,All nested objects also become immutable automatically,Hash is always disabled,Instances are immutable and fields cannot be reassigned,Only new fields cannot be added but existing fields can change,Instances are immutable and fields cannot be reassigned,frozen dataclasses prevent reassignment to fields making instances immutable.
274,What is the value of s=pythonista then print(s[0:2]),pyt,None of the above,y,py,pythonista,py,py is correct based on how this feature behaves in Python.
275,What does print((0 and 5) or 7) produce,7,5,None of the above,FALSE,TRUE,7,0 is falsy so or returns the right value 7.
276,What is the output of print(sum(i*i for i in range(4))),Error,None of the above,14,16,9,14,14 is correct based on how this feature behaves in Python.
277,What does print((x:=len([1 2 3])) == 3 and x) output,3,TRUE,None of the above,len list,FALSE,3,3 is correct based on how this feature behaves in Python.
278,What does print(all([])) return,0,None,TRUE,None of the above,Error,TRUE,all of an empty iterable is True by definition vacuously true.
279,What is the value of s=pythonista then print(s[1:4]),ythonista,None of the above,pyth,th,yth,yth,yth is correct based on how this feature behaves in Python.
280,What is the output of print(sum(i*i for i in range(5))),16,10,30,Error,25,30,Squares 0 1 4 9 16 add up to 30.
281,What is the value of s=pythonista then print(s[2:6]),thon,python,hon,thonista,thoni,thon,thon is correct based on how this feature behaves in Python.
282,What is the output of print(sum(i*i for i in range(4))),6,16,14,Error,9,14,14 is correct based on how this feature behaves in Python.
283,Which method makes an object usable in a with statement,__enter__ and __exit__,__get__ and __set__,__init__ and __del__,__iter__ and __next__,__aenter__ and __aexit__ only,__enter__ and __exit__,with calls __enter__ on enter and __exit__ on exit to handle setup and cleanup.
284,What is the output of print(sum(i*i for i in range(7))),91,36,21,49,Error,91,91 is correct based on how this feature behaves in Python.
285,What is the output of print(sum(i*i for i in range(6))),Error,36,55,15,None of the above,55,55 is correct based on how this feature behaves in Python.
286,What is the output of print(sum(i*i for i in range(6))),55,25,None of the above,15,Error,55,55 is correct based on how this feature behaves in Python.
287,What is the value of s=pythonista then print(s[1:6]),ython,ythoni,None of the above,thon,python,ython,ython is correct based on how this feature behaves in Python.
288,What is a closure in Python,A function that closes files automatically,A class method bound to an instance,A lambda with no parameters,A function that captures variables from an enclosing scope even after that scope has finished,A function defined inside __init__ only,A function that captures variables from an enclosing scope even after that scope has finished,Closures remember variables from surrounding scope so they keep working after the scope ends.
289,What is the output of print({1 2 3} < {1 2 3 4}),Error,None of the above,TRUE,[],0,TRUE,True is correct based on how this feature behaves in Python.
290,What is the output of print(sum(i*i for i in range(5))),30,None of the above,25,16,Error,30,Squares 0 1 4 9 16 add up to 30.
291,Which statement about float NaN is correct,NaN is not equal to itself by IEEE rules so x == x is False for NaN,NaN compares greater than all numbers,NaN is equal to 0 0 by default,NaN sorts to the beginning in all Python sorts,NaN is treated as None by min and max,NaN is not equal to itself by IEEE rules so x == x is False for NaN,NaN is special and never equals itself which is why equality tests fail.
292,What is the value of s=pythonista then print(s[0:4]),None of the above,pytho,pyth,yth,pythonista,pyth,pyth is correct based on how this feature behaves in Python.
293,What is the value of s=pythonista then print(s[2:6]),thoni,None of the above,python,hon,thon,thon,thon is correct based on how this feature behaves in Python.
294,Which best describes __getattr__,None of the above,Called when attribute lookup fails allowing dynamic attribute handling,Called when deleting attributes,Called when setting attributes,Called only for private attributes starting with underscore,Called when attribute lookup fails allowing dynamic attribute handling,It fires only when normal lookup fails letting you supply attributes dynamically.
295,What is the output of print({i:i*i for i in range(3)}[2]),2,Error,0,None of the above,4,4,Comprehension maps 2 to 4 so indexing by 2 returns 4.
296,What is the value of s=pythonista then print(s[3:6]),on,None of the above,hon,python,honi,hon,hon is correct based on how this feature behaves in Python.
297,What is the output of print({1 2 3} < {1 2 3 4}),None of the above,[],TRUE,FALSE,0,TRUE,True is correct based on how this feature behaves in Python.
298,Which best describes the Global Interpreter Lock GIL,It disables asyncio,It allows only one thread to execute Python bytecode at a time per process,It blocks C extensions from running in parallel,It locks the entire operating system scheduler,It prevents subprocesses from spawning,It allows only one thread to execute Python bytecode at a time per process,The GIL lets only one thread run Python bytecode at once inside a process.
299,Which statement about __slots__ is correct,__slots__ speeds up all attribute access always,__slots__ makes a class immutable,__slots__ is required for dataclasses,__slots__ can reduce memory by preventing instance dict creation,__slots__ enables multiple inheritance without MRO,__slots__ can reduce memory by preventing instance dict creation,Slots remove the per instance dict so instances can be smaller.
300,What is the output of print(sum(i*i for i in range(4))),14,None of the above,6,9,16,14,14 is correct based on how this feature behaves in Python.
301,What is the output of print(sum(i*i for i in range(6))),Error,15,55,36,None of the above,55,55 is correct based on how this feature behaves in Python.
302,Which best describes the Global Interpreter Lock GIL,It locks the entire operating system scheduler,It prevents subprocesses from spawning,It allows only one thread to execute Python bytecode at a time per process,It disables asyncio,It blocks C extensions from running in parallel,It allows only one thread to execute Python bytecode at a time per process,The GIL lets only one thread run Python bytecode at once inside a process.
303,What is the output of print(sum(i*i for i in range(3))),4,Error,5,9,None of the above,5,5 is correct based on how this feature behaves in Python.
304,What is the output of print(sum(i*i for i in range(6))),25,55,36,Error,15,55,55 is correct based on how this feature behaves in Python.
305,What is the output of print(sum(i*i for i in range(7))),91,36,None of the above,21,49,91,91 is correct based on how this feature behaves in Python.
306,What does list({1: a  2: b}) evaluate to,[1  2],[(1 a) (2 b)],[2 1],[1 2],[a b],[1  2],[1  2] is correct based on how this feature behaves in Python.
307,What is the value of s=pythonista then print(s[2:5]),None of the above,tho,thon,pytho,ho,tho,tho is correct based on how this feature behaves in Python.
308,What is the output of print(sum(i*i for i in range(7))),36,91,49,None of the above,21,91,91 is correct based on how this feature behaves in Python.
309,What is the value of s=pythonista then print(s[2:6]),python,thon,thoni,thonista,hon,thon,thon is correct based on how this feature behaves in Python.
310,Which statement about mutable default arguments is correct,A list used as a default parameter is shared across calls which can cause surprising bugs,Defaults are re evaluated on each call so this is safe,The interpreter forbids using lists as defaults,This happens only in Python 2 not Python 3,Only dict defaults are shared lists are not,A list used as a default parameter is shared across calls which can cause surprising bugs,Default values are evaluated once at function definition so a list is shared across calls.
311,What is the output of print(sum(i*i for i in range(3))),Error,5,9,3,None of the above,5,5 is correct based on how this feature behaves in Python.
312,What is the output of print(sum(i*i for i in range(5))),None of the above,16,Error,30,25,30,Squares 0 1 4 9 16 add up to 30.
313,What is the output of print(sum(i*i for i in range(6))),15,None of the above,25,Error,55,55,55 is correct based on how this feature behaves in Python.
314,What does print(type(range(3)).__name__) output,list,iterator,range,None of the above,tuple,range,range objects have type name range.
315,What is the value of s=pythonista then print(s[0:5]),python,pytho,ytho,None of the above,pythonista,pytho,pytho is correct based on how this feature behaves in Python.
316,What is the output of print(sum(i*i for i in range(5))),16,None of the above,25,Error,30,30,Squares 0 1 4 9 16 add up to 30.
317,What is structural pattern matching match case primarily used for,Replacing if else for arithmetic,Pattern matching only works with strings,Switching on integer constants only,Destructuring and matching data shapes like sequences mappings and classes,Dynamic type casting at runtime,Destructuring and matching data shapes like sequences mappings and classes,match case can unpack and test shapes of data not just values.
318,What is the value of s=pythonista then print(s[0:2]),pythonista,pyt,None of the above,py,y,py,py is correct based on how this feature behaves in Python.
319,What does print((1 2) < (1 3)) produce,None of the above,Error,TRUE,FALSE,0,TRUE,True is correct based on how this feature behaves in Python.
320,What is a closure in Python,A function defined inside __init__ only,A function that captures variables from an enclosing scope even after that scope has finished,A class method bound to an instance,A function that closes files automatically,A lambda with no parameters,A function that captures variables from an enclosing scope even after that scope has finished,Closures remember variables from surrounding scope so they keep working after the scope ends.
321,What is the value of s=pythonista then print(s[2:6]),thon,thonista,thoni,python,None of the above,thon,thon is correct based on how this feature behaves in Python.
322,What is the output of print(sum(i*i for i in range(7))),36,91,21,Error,None of the above,91,91 is correct based on how this feature behaves in Python.
323,What is the output of print(sum(i*i for i in range(3))),None of the above,4,5,9,3,5,5 is correct based on how this feature behaves in Python.
324,What is the output of print(sum(i*i for i in range(7))),21,49,36,None of the above,91,91,91 is correct based on how this feature behaves in Python.
325,What is the output of print(sum(i*i for i in range(4))),6,None of the above,9,16,14,14,14 is correct based on how this feature behaves in Python.
326,What is the value of s=pythonista then print(s[0:2]),pyt,y,pythonista,None of the above,py,py,py is correct based on how this feature behaves in Python.
327,What is the value of s=pythonista then print(s[3:6]),python,honista,None of the above,hon,honi,hon,hon is correct based on how this feature behaves in Python.
328,What is the output of print(sum(i*i for i in range(4))),Error,14,6,9,16,14,14 is correct based on how this feature behaves in Python.
329,What does print(type(range(3)).__name__) output,list,range,None of the above,iterator,generator,range,range objects have type name range.
330,What is the output of print(sum(i*i for i in range(3))),None of the above,5,4,3,9,5,5 is correct based on how this feature behaves in Python.
331,What is the output of print(sum(i*i for i in range(3))),9,Error,4,5,None of the above,5,5 is correct based on how this feature behaves in Python.
332,What is the output of print(sum(i*i for i in range(4))),None of the above,Error,9,14,6,14,14 is correct based on how this feature behaves in Python.
333,Which statement about mutable default arguments is correct,Only dict defaults are shared lists are not,Defaults are re evaluated on each call so this is safe,This happens only in Python 2 not Python 3,None of the above,A list used as a default parameter is shared across calls which can cause surprising bugs,A list used as a default parameter is shared across calls which can cause surprising bugs,Default values are evaluated once at function definition so a list is shared across calls.
334,What is the output of print(sum(i*i for i in range(5))),30,Error,25,10,None of the above,30,Squares 0 1 4 9 16 add up to 30.
335,What is a closure in Python,A function that captures variables from an enclosing scope even after that scope has finished,A class method bound to an instance,A lambda with no parameters,A function defined inside __init__ only,None of the above,A function that captures variables from an enclosing scope even after that scope has finished,Closures remember variables from surrounding scope so they keep working after the scope ends.
336,What is the value of s=pythonista then print(s[0:2]),y,py,pythonista,None of the above,pyt,py,py is correct based on how this feature behaves in Python.
337,What does dataclass frozen True guarantee,Only __repr__ is generated not __init__,Instances are immutable and fields cannot be reassigned,All nested objects also become immutable automatically,Only new fields cannot be added but existing fields can change,None of the above,Instances are immutable and fields cannot be reassigned,frozen dataclasses prevent reassignment to fields making instances immutable.
338,What is the output of print(sum(i*i for i in range(6))),25,15,55,Error,36,55,55 is correct based on how this feature behaves in Python.
339,What is the output of print({i:i*i for i in range(3)}[2]),3,Error,2,4,None of the above,4,Comprehension maps 2 to 4 so indexing by 2 returns 4.
