Question ID,Question,Option A,Option B,Option C,Option D,Answer,Explanation
332,What is the output of print(-2 * -8)?,-10,15,16,6,16,"Multiplication of -2 and -8 gives 16, so 16 is right."
333,Which built-in type is immutable?,set,bytearray,list,tuple,tuple,"Tuples are immutable, so once created their contents cannot be changed."
334,What is the output of print(1 * 9)?,9,10,Error,8,9,"Multiplication of 1 and 9 gives 9, so 9 is right."
335,What is the output of print(-1 * 1)?,-2,-1,Error,0,-1,"Multiplication of -1 and 1 gives -1, so -1 is right."
336,What is the output of print(7 * 2)?,15,Error,14,9,14,"Multiplication of 7 and 2 gives 14, so 14 is right."
337,What is the output of print(1 * 3)?,2,4,-2,3,3,"Multiplication of 1 and 3 gives 3, so 3 is right."
338,Which statement re-raises the current exception?,throw,raise,except,None,raise,raise is correct because it matches how this feature behaves in Python.
339,What is 'python'[1:4]?,tho,pyt,yth,ytho,yth,Slicing from index 1 up to 4 takes the middle chunk yth.
340,What is the output of print(-9 * -6)?,55,Error,53,54,54,"Multiplication of -9 and -6 gives 54, so 54 is right."
341,"What is list(filter(None,[0,1,2]))?","[1, 2]",[],[2],"[0,1,2]","[1, 2]","[1, 2] is correct because it matches how this feature behaves in Python."
342,What is the output of print(5 * 3)?,Error,15,16,2,15,"Multiplication of 5 and 3 gives 15, so 15 is right."
343,What is the output of print(-6 * 9)?,-54,Error,3,-53,-54,"Multiplication of -6 and 9 gives -54, so -54 is right."
344,What is 'mississippi'.count('ss')?,1,4,2,3,2,2 is correct because it matches how this feature behaves in Python.
345,What is the output of print(-4 * 5)?,-9,-20,1,Error,-20,"Multiplication of -4 and 5 gives -20, so -20 is right."
346,What is the output of print(-5 * -6)?,30,31,1,-11,30,"Multiplication of -5 and -6 gives 30, so 30 is right."
347,What is the output of print(-3 * -8)?,Error,23,25,24,24,"Multiplication of -3 and -8 gives 24, so 24 is right."
348,What is the output of print(-3 * -5)?,14,15,-8,2,15,"Multiplication of -3 and -5 gives 15, so 15 is right."
349,What is the output of print(-9 * -9)?,81,Error,82,-18,81,"Multiplication of -9 and -9 gives 81, so 81 is right."
350,What is the output of print(6 * -4)?,-24,10,-25,Error,-24,"Multiplication of 6 and -4 gives -24, so -24 is right."
351,What is the output of print(-2 * 9)?,7,-11,-19,-18,-18,"Multiplication of -2 and 9 gives -18, so -18 is right."
352,What is the output of print(-4 * 2)?,-7,-9,-2,-8,-8,"Multiplication of -4 and 2 gives -8, so -8 is right."
353,"What is isinstance(True,int)?",TRUE,FALSE,None,0,TRUE,"This follows Python’s rules for that operation, so this truth value is the expected outcome."
354,Which module provides regular expressions?,re,match,regex,pattern,re,re is correct because it matches how this feature behaves in Python.
355,What is the output of print(-2 * 8)?,-16,-10,-15,Error,-16,"Multiplication of -2 and 8 gives -16, so -16 is right."
356,What is the output of print(3 * -2)?,5,-5,-6,1,-6,"Multiplication of 3 and -2 gives -6, so -6 is right."
357,What is the output of print(2 * -6)?,-4,-12,-13,Error,-12,"Multiplication of 2 and -6 gives -12, so -12 is right."
358,What is type({}.keys()).__name__?,dict_keys,set,dict_items,view,dict_keys,"Dictionary view objects like dict_keys are special views, not plain lists."
359,What is the output of print(0 * -5)?,1,0,5,-1,0,"Multiplication of 0 and -5 gives 0, so 0 is right."
360,What is the output of print(-8 * -2)?,16,-6,-10,17,16,"Multiplication of -8 and -2 gives 16, so 16 is right."
361,What is the output of print(-1 * -6)?,Error,6,5,-7,6,"Multiplication of -1 and -6 gives 6, so 6 is right."
362,What is the output of print(-4 * -8)?,32,-12,Error,4,32,"Multiplication of -4 and -8 gives 32, so 32 is right."
363,"What is isinstance(True,int)?",'',FALSE,0,TRUE,TRUE,"This follows Python’s rules for that operation, so this truth value is the expected outcome."
364,What is the output of print(8 * -4)?,-33,4,-31,-32,-32,"Multiplication of 8 and -4 gives -32, so -32 is right."
365,What is the output of print(0 * -5)?,-1,1,Error,0,0,"Multiplication of 0 and -5 gives 0, so 0 is right."
366,What is the output of print(0 * 3)?,-1,3,1,0,0,"Multiplication of 0 and 3 gives 0, so 0 is right."
367,What is the output of print(6 * -3)?,3,-17,-18,-19,-18,"Multiplication of 6 and -3 gives -18, so -18 is right."
368,What is the output of print(-2 * 9)?,Error,-18,-11,7,-18,"Multiplication of -2 and 9 gives -18, so -18 is right."
369,What is the output of print(-8 * 0)?,Error,1,0,-1,0,"Multiplication of -8 and 0 gives 0, so 0 is right."
370,What is the file mode to read text (default)?,rb,r,w,rw,r,r opens a file for reading text by default.
371,What is the result of 2**3?,8,6,23,9,8,The exponent operator ** raises 2 to the power 3 which is 8.
372,What is the output of print(5 * -4)?,-19,Error,-20,9,-20,"Multiplication of 5 and -4 gives -20, so -20 is right."
373,"What is sorted([3,1,2])?","(1,2,3)","[1, 2, 3]","[1,3,2]","[3,2,1]","[1, 2, 3]","sorted creates and returns a new sorted list, leaving the original alone."
374,What is the output of print(8 * 7)?,15,55,Error,56,56,"Multiplication of 8 and 7 gives 56, so 56 is right."
375,Which module helps parse command-line arguments?,click,sys,shlex,argparse,argparse,argparse parses command-line arguments and automatically builds help messages.
376,What is 'python'.find('z')?,None,FALSE,0,-1,-1,-1 is correct because it matches how this feature behaves in Python.
377,Which statement re-raises the current exception?,[],raise,retry,except,raise,raise is correct because it matches how this feature behaves in Python.
378,Which function schedules multiple coroutines to run concurrently?,asyncio.sleep,asyncio.gather,asyncio.run,asyncio.wait_for,asyncio.gather,asyncio.gather schedules multiple coroutines to run concurrently and waits for them.
379,What is the output of print(-3 * -1)?,-2,2,3,4,3,"Multiplication of -3 and -1 gives 3, so 3 is right."
380,Which method joins a list of strings with a separator?,join,combine,concat,append,join,join is correct because it matches how this feature behaves in Python.
381,Which module provides tools for working with iterators like permutations?,itertools,collections,random,typing,itertools,itertools houses fast iterator building blocks like permutations and combinations.
382,What is the output of print(4 * -6)?,-25,Error,-24,-2,-24,"Multiplication of 4 and -6 gives -24, so -24 is right."
383,What is the output of print(-7 * 8)?,Error,-56,-57,-15,-56,"Multiplication of -7 and 8 gives -56, so -56 is right."
384,What is the output of print(-3 * 9)?,-12,-26,-27,6,-27,"Multiplication of -3 and 9 gives -27, so -27 is right."
385,What is the output of print(-3 * 8)?,-24,-11,Error,5,-24,"Multiplication of -3 and 8 gives -24, so -24 is right."
386,Which function schedules multiple coroutines to run concurrently?,asyncio.sleep,asyncio.run,asyncio.gather,(),asyncio.gather,asyncio.gather schedules multiple coroutines to run concurrently and waits for them.
387,What is the output of print(-6 * 0)?,0,Error,-6,1,0,"Multiplication of -6 and 0 gives 0, so 0 is right."
388,What is the output of print(4 * -4)?,-16,8,-15,Error,-16,"Multiplication of 4 and -4 gives -16, so -16 is right."
389,What is the output of print(5 * 6)?,Error,31,-1,30,30,"Multiplication of 5 and 6 gives 30, so 30 is right."
390,What is the output of print(-1 * -9)?,Error,8,9,10,9,"Multiplication of -1 and -9 gives 9, so 9 is right."
391,What is the output of print(-4 * 6)?,Error,-25,-24,-23,-24,"Multiplication of -4 and 6 gives -24, so -24 is right."
392,What is the output of print(-9 * -3)?,-12,Error,26,27,27,"Multiplication of -9 and -3 gives 27, so 27 is right."
393,What is the output of print(-5 * 2)?,-11,-7,-10,-9,-10,"Multiplication of -5 and 2 gives -10, so -10 is right."
394,What is the output of print(4 * 1)?,4,3,5,Error,4,"Multiplication of 4 and 1 gives 4, so 4 is right."
395,What is the correct file extension for Python source files?,.pyc,.py,.pt,.pyt,.py,.py is correct because it matches how this feature behaves in Python.
396,What is the output of print(2 * -6)?,8,-4,-12,-11,-12,"Multiplication of 2 and -6 gives -12, so -12 is right."
397,What is the output of print(1 * -9)?,-10,-8,Error,-9,-9,"Multiplication of 1 and -9 gives -9, so -9 is right."
398,Which operator tests object identity?,is,id,in,(),is,"is checks whether two names reference the same object, not just equal values."
399,What is the output of print(-1 * -4)?,5,-5,4,Error,4,"Multiplication of -1 and -4 gives 4, so 4 is right."
400,What is the output of print(2 * 7)?,14,15,-5,9,14,"Multiplication of 2 and 7 gives 14, so 14 is right."
401,What is the output of print(9 * 8)?,1,Error,72,71,72,"Multiplication of 9 and 8 gives 72, so 72 is right."
402,What is the output of print(type([]).__name__)?,list,set,dict,object,list,"Lists use square brackets and are mutable ordered collections, so their type is list."
403,What is the output of print(8 * 0)?,8,0,1,-1,0,"Multiplication of 8 and 0 gives 0, so 0 is right."
404,What is the output of print(2 * -7)?,9,Error,-13,-14,-14,"Multiplication of 2 and -7 gives -14, so -14 is right."
405,What is the output of print(4 * 8)?,-4,33,32,Error,32,"Multiplication of 4 and 8 gives 32, so 32 is right."
406,What is 'Python'.lower()?,python,Python,PYTHON,pYTHON,python,"String methods return new strings without changing the original, and this method does exactly what its name says."
407,What is the output of print(5 * 4)?,20,21,Error,19,20,"Multiplication of 5 and 4 gives 20, so 20 is right."
408,What is the output of print(-5 * -2)?,11,Error,10,-3,10,"Multiplication of -5 and -2 gives 10, so 10 is right."
409,What is the output of print(0 * 5)?,5,0,1,-5,0,"Multiplication of 0 and 5 gives 0, so 0 is right."
410,"What does {'a':1}.get('b',99) return?",KeyError,99,None,0,99,"get returns the default you pass when the key is missing, so you see 99."
411,What is the output of print(-8 * 5)?,-40,-13,-3,-41,-40,"Multiplication of -8 and 5 gives -40, so -40 is right."
412,What is the output of print(-9 * -1)?,9,Error,8,-8,9,"Multiplication of -9 and -1 gives 9, so 9 is right."
413,Which method joins a list of strings with a separator?,merge,join,combine,concat,join,join is correct because it matches how this feature behaves in Python.
414,What is the output of print(6 * 0)?,1,6,-1,0,0,"Multiplication of 6 and 0 gives 0, so 0 is right."
415,What is the output of print(4 * -5)?,-21,-20,-19,9,-20,"Multiplication of 4 and -5 gives -20, so -20 is right."
416,"What is len(set([1,1,2]))?",1,0,2,3,2,"len counts elements in the sequence, so the result matches the number of items shown."
417,"What does {'a':1}.get('b',99) return?",1,0,None,99,99,"get returns the default you pass when the key is missing, so you see 99."
418,What is the output of print(-4 * 9)?,-36,-37,5,-35,-36,"Multiplication of -4 and 9 gives -36, so -36 is right."
419,What is ''.strip()?,' ',,None,[],,nan is correct because it matches how this feature behaves in Python.
420,What is the output of print(3 * -7)?,-4,-20,-21,-22,-21,"Multiplication of 3 and -7 gives -21, so -21 is right."
421,"What is [1,2,3] + [4]?","[4,1,2,3]","[1,2,3]+[4]","[1,2,3]","[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 3, 4] is correct because it matches how this feature behaves in Python."
422,What is the output of print(-5 * 1)?,-6,Error,-4,-5,-5,"Multiplication of -5 and 1 gives -5, so -5 is right."
423,"What is {1,2,3} == {3,2,1}?",0,Error,TRUE,None,TRUE,Set equality ignores order; same elements mean True.
424,What is the output of print(9 * 7)?,Error,63,62,2,63,"Multiplication of 9 and 7 gives 63, so 63 is right."
425,What is the output of print(4 * -1)?,-3,-4,-5,Error,-4,"Multiplication of 4 and -1 gives -4, so -4 is right."
426,Which keyword creates a generator inside a function?,yield,generate,produce,'',yield,yield turns a function into a generator that produces values lazily.
427,What is the output of print(8 * 4)?,32,12,31,4,32,"Multiplication of 8 and 4 gives 32, so 32 is right."
428,What is the output of print(-1 * -9)?,-10,10,8,9,9,"Multiplication of -1 and -9 gives 9, so 9 is right."
429,Which library path object uses the / operator to join?,os.path,sys.path,pathlib.Path,shutil,pathlib.Path,pathlib.Path overloads the division operator to join path parts neatly.
430,What is the output of print(-9 * 4)?,-35,-5,-36,-13,-36,"Multiplication of -9 and 4 gives -36, so -36 is right."
431,Which collection does not allow duplicate elements?,list,set,deque,tuple,set,"Sets keep unique elements only, so duplicates collapse to one."
432,Which module helps parse command-line arguments?,shlex,getopt,click,argparse,argparse,argparse parses command-line arguments and automatically builds help messages.
433,What is the output of print(0 * 5)?,0,-1,-5,1,0,"Multiplication of 0 and 5 gives 0, so 0 is right."
434,What is the output of print(0 * -2)?,2,0,-1,1,0,"Multiplication of 0 and -2 gives 0, so 0 is right."
435,What is the output of print(9 * 9)?,18,82,Error,81,81,"Multiplication of 9 and 9 gives 81, so 81 is right."
436,What is the output of print(9 * 4)?,36,37,5,Error,36,"Multiplication of 9 and 4 gives 36, so 36 is right."
437,What is the output of print(6 * -2)?,4,-12,Error,8,-12,"Multiplication of 6 and -2 gives -12, so -12 is right."
438,What is the output of print(0 * 9)?,0,1,9,-9,0,"Multiplication of 0 and 9 gives 0, so 0 is right."
439,What is the output of print(-1 * -6)?,5,-7,6,7,6,"Multiplication of -1 and -6 gives 6, so 6 is right."
440,What is the output of print(1 * -9)?,-10,-8,-9,10,-9,"Multiplication of 1 and -9 gives -9, so -9 is right."
441,What is the output of print(8 * 5)?,41,Error,40,39,40,"Multiplication of 8 and 5 gives 40, so 40 is right."
442,What is bool([0])?,FALSE,TRUE,None,FALSE,TRUE,"Non-empty lists are truthy, even if they contain zero; so this is True."
443,What is the output of print(5 * 0)?,1,5,0,-1,0,"Multiplication of 5 and 0 gives 0, so 0 is right."
444,What is the output of print(1 * 0)?,Error,-1,0,1,0,"Multiplication of 1 and 0 gives 0, so 0 is right."
445,What is the output of print(3 * 2)?,6,Error,1,7,6,"Multiplication of 3 and 2 gives 6, so 6 is right."
446,What is 'Python'.lower()?,python,pYTHON,PYTHON,Python,python,"String methods return new strings without changing the original, and this method does exactly what its name says."
447,What is the output of print(5 * 6)?,-1,31,Error,30,30,"Multiplication of 5 and 6 gives 30, so 30 is right."
448,What is the output of print(5 * -3)?,-16,8,-15,2,-15,"Multiplication of 5 and -3 gives -15, so -15 is right."
449,Which keyword creates a generator inside a function?,generate,return,yield,produce,yield,yield turns a function into a generator that produces values lazily.
450,What is the output of print(-9 * -4)?,-13,-5,36,37,36,"Multiplication of -9 and -4 gives 36, so 36 is right."
451,What is type(range(3)).__name__?,generator,range,iterator,tuple,range,range objects have their own type in Python and generate sequences lazily.
452,What is the output of print(-4 * -4)?,-8,0,Error,16,16,"Multiplication of -4 and -4 gives 16, so 16 is right."
453,"What is len(set([1,1,2]))?",1,3,0,2,2,"len counts elements in the sequence, so the result matches the number of items shown."
454,What is the output of print(4 * -3)?,7,Error,-11,-12,-12,"Multiplication of 4 and -3 gives -12, so -12 is right."
455,What is the output of print(4 * -3)?,Error,-11,7,-12,-12,"Multiplication of 4 and -3 gives -12, so -12 is right."
456,What does len('hello') return?,6,0,5,4,5,"len counts elements in the sequence, so the result matches the number of items shown."
457,What is the output of print(3 * -2)?,Error,1,-5,-6,-6,"Multiplication of 3 and -2 gives -6, so -6 is right."
458,What is the file mode to read text (default)?,r,rt,rb,(),r,r opens a file for reading text by default.
459,What is the output of print(2 * -6)?,-13,Error,-12,-11,-12,"Multiplication of 2 and -6 gives -12, so -12 is right."
460,Which keyword is used to define a coroutine function?,TRUE,await def,def coroutine,async def,async def,async def defines a coroutine function that can be awaited.
461,What is the output of print(-3 * 2)?,Error,-6,-7,-1,-6,"Multiplication of -3 and 2 gives -6, so -6 is right."
462,What is the output of print(7 * 3)?,Error,21,22,4,21,"Multiplication of 7 and 3 gives 21, so 21 is right."
463,What is the output of print(-5 * 8)?,-41,-13,-39,-40,-40,"Multiplication of -5 and 8 gives -40, so -40 is right."
464,What is the output of print(3 * -6)?,-3,-18,-19,9,-18,"Multiplication of 3 and -6 gives -18, so -18 is right."
465,What is the output of print(-2 * 5)?,-7,3,-11,-10,-10,"Multiplication of -2 and 5 gives -10, so -10 is right."
466,"What is len(set([1,1,2]))?",1,2,0,Error,2,"len counts elements in the sequence, so the result matches the number of items shown."
467,What is the output of print(9 * 7)?,Error,2,16,63,63,"Multiplication of 9 and 7 gives 63, so 63 is right."
468,What is the output of print(-3 * 8)?,Error,-24,-23,5,-24,"Multiplication of -3 and 8 gives -24, so -24 is right."
469,What is -3 % 2?,-1,3,1,2,1,1 is correct because it matches how this feature behaves in Python.
470,Which statement is used to handle exceptions?,handle ... except,try ... except,if ... else,trap ... recover,try ... except,try ... except is correct because it matches how this feature behaves in Python.
471,Which keyword defines a function in Python?,0,func,lambda,def,def,def is correct because it matches how this feature behaves in Python.
472,What is the output of print(5 * 0)?,5,0,Error,1,0,"Multiplication of 5 and 0 gives 0, so 0 is right."
473,What is the output of print(-4 * 0)?,Error,-4,-1,0,0,"Multiplication of -4 and 0 gives 0, so 0 is right."
474,What is the output of print(-5 * 8)?,-39,-40,-13,-41,-40,"Multiplication of -5 and 8 gives -40, so -40 is right."
475,What is the output of print(-3 * -8)?,Error,5,24,25,24,"Multiplication of -3 and -8 gives 24, so 24 is right."
476,What is the output of print(-4 * 6)?,-24,2,Error,-10,-24,"Multiplication of -4 and 6 gives -24, so -24 is right."
477,What is the output of print(3 * 1)?,3,Error,2,4,3,"Multiplication of 3 and 1 gives 3, so 3 is right."
478,What is the output of print(1 * -2)?,-3,Error,-2,-1,-2,"Multiplication of 1 and -2 gives -2, so -2 is right."
479,What is the output of print(-9 * -3)?,-6,27,Error,26,27,"Multiplication of -9 and -3 gives 27, so 27 is right."
480,What is the output of print(7 * 3)?,22,20,21,Error,21,"Multiplication of 7 and 3 gives 21, so 21 is right."
481,"Which function returns an iterator of (index, value) pairs?",enumerate,zip,map,TRUE,enumerate,enumerate gives you index and value for each item as you iterate.
482,Which keyword prevents a dataclass from being mutable?,static=True,final=True,frozen=True,sealed=True,frozen=True,frozen=True is correct because it matches how this feature behaves in Python.
483,What is the output of print(4 * -8)?,-32,-4,-31,-33,-32,"Multiplication of 4 and -8 gives -32, so -32 is right."
484,What is the output of print(5 * 3)?,16,14,8,15,15,"Multiplication of 5 and 3 gives 15, so 15 is right."
485,What is the output of print(-1 * 1)?,-2,0,-1,Error,-1,"Multiplication of -1 and 1 gives -1, so -1 is right."
486,What is the output of print(-7 * 4)?,-29,-3,-28,-27,-28,"Multiplication of -7 and 4 gives -28, so -28 is right."
487,What is the output of print(-5 * 8)?,3,-40,-41,-13,-40,"Multiplication of -5 and 8 gives -40, so -40 is right."
488,Which built-in converts bytes to str?,bytes.decode,format,str.encode,repr,bytes.decode,bytes.decode is correct because it matches how this feature behaves in Python.
489,What is the output of print(-2 * 6)?,-12,Error,-13,4,-12,"Multiplication of -2 and 6 gives -12, so -12 is right."
490,"What is list(map(lambda x:x+1,[1,2]))?","[2,3,4]","[1,2]","[2, 3]","[3,4]","[2, 3]","[2, 3] is correct because it matches how this feature behaves in Python."
491,What is the output of print(5 * -3)?,2,-15,-16,-14,-15,"Multiplication of 5 and -3 gives -15, so -15 is right."
492,What is the output of print(8 * 1)?,9,7,8,Error,8,"Multiplication of 8 and 1 gives 8, so 8 is right."
493,"What is ''.join(['a','b'])?","['a','b']",ab,"a,b",a b,ab,join glues the strings together using the given separator; an empty separator just concatenates them.
494,What is the output of print(5 * 9)?,-4,44,45,14,45,"Multiplication of 5 and 9 gives 45, so 45 is right."
495,Which method returns a new sorted list without modifying the original?,order,sort,arrange,sorted,sorted,sorted is correct because it matches how this feature behaves in Python.
496,What does PEP stand for?,Python Extended Plan,Python Enhancement Proposal,TRUE,Python Engineering Plan,Python Enhancement Proposal,"PEP means Python Enhancement Proposal, which documents ideas and changes to the language."
497,What is the output of print(-8 * 9)?,-71,-73,-72,-17,-72,"Multiplication of -8 and 9 gives -72, so -72 is right."
498,What is the output of print(7 * 8)?,56,55,15,-1,56,"Multiplication of 7 and 8 gives 56, so 56 is right."
499,Which data structure is best for FIFO operations in collections?,list,tuple,collections.deque,set,collections.deque,"collections.deque is built for fast appends and pops from both ends, perfect for FIFO queues."
500,Which operator tests object identity?,in,equals,==,is,is,"is checks whether two names reference the same object, not just equal values."
